id;escola;coordenadoria_id;turno;escola_id;serie;turno_id
319;EE Carmina de Castro;22;Vespertino;122;;
320;EE Hermogenes Saraiva;22;Noturno;122;;
321;EE Justina Pires Nogueira;22;Matutino;123;;
322;EE Tancredo de Almeida Neves;23;Vespertino;123;;
323;EE Frei Isidoro Irigoyen Unanua;23;Noturno;123;;
324;EE Belarmino Gomes de Albuquerque;24;Matutino;124;;
325;EE Cel Alfredo Marques da Silveira;24;Vespertino;124;;
326;EE Profa. Nazare Varela;24;Noturno;124;;
327;EE Sao Jose;24;Matutino;125;;
328;EE Nair Alves da Silva;24;Vespertino;125;;
329;EE Osvaldo Nascimento;24;Noturno;125;;
330;EETI Sergio Rufino de Oliveira;24;Matutino;126;;
331;EETI Carauari;24;Vespertino;126;;
332;EE Saturnino Maraes Neto;24;Noturno;126;;
333;CETI Prof. Pedro Alves Da Silva;24;Matutino;127;;
334;EE Marcal Machado Girao;25;Vespertino;127;;
335;EE Pedro dos Santos;25;Noturno;127;;
336;EE Thome Ferreira Santiago;25;Integral;128;;
337;EE Senador Fabio Lucena;25;Matutino;129;;
338;CETI Profa. Maria Adelaide Marinho Hortencia;25;Vespertino;129;;
339;EE Cel. Fiuza;26;Noturno;129;;
340;EE Tancredo de Almeida Neves;26;Integral;130;;
341;EE Vital de Andrade Brandao;26;Integral;131;;
342;EE Antonio Ferreira Guedes;26;Integral;132;;
343;EE Alberto Santos Migueis;26;Matutino;133;;
344;EE Tiburcio Alves Mogeiro;26;Vespertino;133;;
345;EE Diamantina Ribeiro de Oliviera;27;Noturno;133;;
346;EE Dom Mario;27;Matutino;134;;
347;EE Francisco Lopes Braga;27;Vespertino;134;;
348;EE Ines de Nazare Vieira;27;Noturno;134;;
349;EE Iraci Leitao;27;Matutino;135;;
350;EE Joao Vieira;27;Vespertino;135;;
351;EE N. S. Perpetuo Socorro;27;Noturno;135;;
352;EE Presidente Kennedy;27;Matutino;136;;
353;EE Prof. Gilberto Mestrinho;27;Vespertino;136;;
354;EE Thome de Medeiros Raposo;27;Noturno;136;;
355;Instituto Bereano de Coari;27;Integral;137;;
356;EE Francisca Evangelista da Silva;27;Matutino;138;;
357;EE Maria Almeida do Nascimento;27;Vespertino;138;;
358;EE Prefeito Alexandre Montoril;27;Noturno;138;;
359;CETI Prof. Manuel Vicente Ferreira Lima;27;Matutino;139;;
360;EE Prof. Gilberto Mestrinho de Medeiros Raposo;28;Vespertino;139;;
361;EE Jose Melo de Oliveira;28;Noturno;139;;
